,State,num faccilities,Death Count,death to facility
22,SC,110,751,6.827272727272727
16,NV,69,440,6.3768115942028984
8,NM,46,288,6.260869565217392
31,WA,149,916,6.147651006711409
1,DC,16,97,6.0625
25,MD,132,789,5.9772727272727275
51,CA,760,4527,5.956578947368421
49,TX,574,3145,5.479094076655052
47,PA,343,1879,5.478134110787172
38,VA,205,1111,5.419512195121952
20,OR,108,573,5.305555555555555
0,VT,15,79,5.266666666666667
46,IL,334,1758,5.263473053892215
35,AZ,171,900,5.2631578947368425
45,OH,332,1744,5.253012048192771
6,HI,37,193,5.216216216216216
43,MI,271,1389,5.125461254612546
33,MO,159,810,5.09433962264151
41,NJ,247,1253,5.0728744939271255
37,TN,192,968,5.041666666666667
50,FL,626,3155,5.039936102236422
42,NC,270,1355,5.018518518518518
27,AL,142,711,5.007042253521127
32,MA,155,758,4.890322580645162
36,IN,179,847,4.731843575418995
44,GA,276,1302,4.717391304347826
2,DE,30,141,4.7
24,OK,116,539,4.646551724137931
28,LA,144,667,4.631944444444445
48,NY,544,2491,4.579044117647059
7,NH,44,201,4.568181818181818
29,KY,144,657,4.5625
17,AR,83,375,4.518072289156627
14,UT,64,285,4.453125
15,WV,64,284,4.4375
26,CO,138,605,4.384057971014493
19,MS,99,433,4.373737373737374
5,RI,34,142,4.176470588235294
13,ID,49,202,4.122448979591836
10,ME,48,192,4.0
23,CT,114,440,3.8596491228070176
21,KS,109,411,3.770642201834862
9,MT,47,156,3.3191489361702127
40,WI,215,695,3.2325581395348837
39,MN,210,650,3.0952380952380953
18,NE,93,276,2.967741935483871
30,IA,145,396,2.731034482758621
34,PR,163,425,2.607361963190184
12,SD,48,107,2.2291666666666665
3,WY,30,62,2.066666666666667
4,AK,33,68,2.0606060606060606
11,ND,48,67,1.3958333333333333
